1924年在法国夏蒙尼冬奥会上决出的第一个项目是什么？,男子500米速度滑冰
陈伟群全国花样滑冰锦标赛冠军（多少～2013）?,2008
陈伟群多少年4月16日，加拿大华裔花样滑冰名将、奥运金牌得主陈伟群在多伦多正式宣布退役?,2018
陈伟群多少年开始参加成年组的国际比赛，在花样滑冰大奖赛加拿大站的比赛中一鸣惊人夺得冠军?,2006
多少/07赛季，陈伟群转入成年组，逐渐显露出过人的天赋?,2006
陈伟群多少年，陈伟群凭着惊人天分，在加拿大全国初阶及青少年花式滑冰赛中连续3年夺冠?,2003
陈伟群四季》（FourSeasons）的伴奏乐曲，陈伟群在表演的前半段做出了多少个三圈空翻，悠然自得?,6
陈伟群世界花样滑冰锦标赛，以总分多少.98分夺得冠军，创造了花样滑冰新规则历史上男子单人滑的历史最高分?,280
陈伟群不过，由于训练费用高达多少万元，而政府资助及商业赞助杯水车薪?,25
陈伟群这次活动得到了温哥华各界华人的大力支持，共为陈伟群筹得多少万1000元训练经费，超出了预期目标?,3
陈伟群为备战冬奥，陈伟群在美国接受强化训练，每年训练费用在多少万至20万元之间，?,15
陈伟群各类资助加上商业赞助只能解决训练费用的多少%左右，其余都靠陈伟群家人筹集?,10
陈伟群进入多少年，陈伟群重新找回状态，在加拿大国内锦标赛上轻松卫冕，获得出战四大洲赛的机会?,2009
陈伟群多少年届四大洲赛是世锦赛前的最后一次成年组比赛，本次大赛是世锦赛的预演和冬奥会的前哨战?,2009
陈伟群展望多少年的世锦赛，陈伟群表示自己有实力登上冠军领奖台?,2009
单人滑比赛结束，在短节目中排名第一位的加拿大名将陈伟群以超出第二名多少多分的巨大优势技压群雄获得冠军?,20
国际滑联增加了四周跳的难度分值，陈伟群也是知难而上，并且在多少年赛季大奖赛总决赛中以出色的发挥夺得冠军?,2011
陈伟群鉴于他现在只有多少岁，今后仍然有上升空间，未来的几年创造一个属于他自己的时代是完全有可能的事?,20
陈哲的中文名是什么?,陈哲
陈哲的性别是什么?,男
陈哲的国籍是什么?,中国
陈哲的运动项目是什么?,跳台滑雪
陈哲2018年12月20日，陈哲获得了什么?,跳台滑雪国际雪联杯美国站男子100米个人标准台第二场第15名
陈哲2018年12月20日，陈哲获得跳台滑雪国际雪联杯美国站男子100米个人标准台第二场第多少名?,15
陈哲跳台滑雪国际雪联杯美国站男子100米个人标准台第二场第多少名?,15
多少年12月20日，陈哲获得跳台滑雪国际雪联杯美国站男子100米个人标准台第二场第15名?,2018
陈哲跳台滑雪国际雪联杯美国站男子多少米个人标准台第二场第15名?,100
陈宏，中国冰舞运动员，搭档是什么?,孙茁鸣
陈宏的中文名是什么?,陈宏
陈宏的运动项目是什么?,冰舞
陈宏的国    籍是什么?,中国
陈宏的搭    档是什么?,孙茁鸣
陈宏2016-2017赛季国际滑联花样滑冰四大洲锦标赛，排名第10位；2017年札幌亚冬会，以总成绩142.42分获得了什么?,铜牌
陈宏2月24日，陈宏/孙茁鸣以总分172.86分获得了什么?,2019年全国花样滑冰冠军赛冰舞冠军
陈宏2017年札幌亚冬会，以总成绩142.42分获得了什么?,铜牌
陈宏2019年2月11日，陈宏/孙茁鸣以156.89分获得了什么?,2019年四大洲花样滑冰锦标赛冰舞第八名
陈宏赵研自由舞得到83.40分，以总成绩142.42分获得了什么?,铜牌
陈宏2018年12月30日，陈宏/孙茁鸣以169.95分获得了什么?,2018年全国花样滑冰锦标赛冰舞亚军
陈宏2019年2月24日，陈宏/孙茁鸣以总分172.86分获得了什么?,2019年全国花样滑冰冠军赛冰舞冠军
陈宏2016-2017赛季国际滑联花样滑冰四大洲锦标赛，排名第10位；2017年札幌亚冬会，以总成绩142.多少分获得铜牌?,42
陈宏2月24日，陈宏/孙茁鸣以总分172.86分获得多少年全国花样滑冰冠军赛冰舞冠军?,2019
陈宏2017年札幌亚冬会，以总成绩142.多少分获得铜牌?,42
陈宏2019年2月11日，陈宏/孙茁鸣以156.89分获得多少年四大洲花样滑冰锦标赛冰舞第八名?,2019
陈宏2017年札幌亚冬会花滑比赛正式揭幕，在首先进行的冰舞短舞蹈比赛中，中国组合陈宏/赵研以59.多少分排名第三?,2
陈宏赵研自由舞得到83.40分，以总成绩142.多少分获得铜牌?,42
多少月24日，陈宏/孙茁鸣以总分172.86分获得2019年全国花样滑冰冠军赛冰舞冠军?,2
陈宏多少-2017赛季国际滑联花样滑冰四大洲锦标赛，排名第10位；2017年札幌亚冬会，以总成绩142.42分获得铜牌?,2016
陈宏，以总成绩多少.42分获得铜牌?,142
陈宏多少年2月11日，陈宏/孙茁鸣以156.89分获得2019年四大洲花样滑冰锦标赛冰舞第八名?,2019
陈宏《温莎公爵夫人》技术分多少.05/节目内容分36.16、自由舞得到77.21分，总成绩得到128.55分排名第10位?,41
陈宏花滑比赛正式揭幕，在首先进行的冰舞短舞蹈比赛中，中国组合陈宏/赵研以多少.02分排名第三?,59
陈宏赵研自由舞得到多少.40分，以总成绩142.42分获得铜牌?,83
陈巍的中文名是什么?,陈巍
陈巍的外文名是什么?,NathanChen
陈巍的国籍是什么?,美国
陈巍的运动项目是什么?,花样滑冰
陈巍的主要成就是什么?,2017年、2018年世界花样滑冰大奖赛总决赛冠军[2]2017年四大洲花样滑冰锦标赛冠军2017年世界花样滑冰大奖赛俄罗斯站冠军[3]2017年世界花样滑冰大奖赛美国站冠军[4]
陈巍的出生地是什么?,犹他州盐湖城
陈巍的出生日期是什么?,36285
陈巍的毕业院校是什么?,耶鲁大学（在读）
陈巍的身高是什么?,165cm[1]
陈巍美国绿卡，成为一名医学领域的高级科研员，创办有什么?,自己的医学技术公司及实验室
陈巍2016年10月，获得国际滑联花样滑冰挑战赛芬兰杯冠军；11月，在世界花样滑冰大奖赛日本站获得了什么?,银牌
陈巍2018年3月24日，陈巍以321.40分获得了什么?,2018年世界花样滑冰锦标赛冠军
陈巍2019年1月28日，陈巍以342.22分获得了什么?,2018-2019赛季花样滑冰全美锦标赛男子单人滑冠军
陈巍2016年10月，获得了什么?,国际滑联花样滑冰挑战赛芬兰杯冠军；11月，在世界花样滑冰大奖赛日本站获得银牌
陈巍伊戈尔王》，最终得到168.94排名单项第一，以总分256.44获得了什么?,金牌
陈巍11月26日，参加世界花样滑冰大奖赛日本站，凭借自由滑的稳定发挥，以总分268.91获得了什么?,银牌
陈巍2018年10月21日，陈巍以280.57分获得了什么?,2018/19赛季花样滑冰大奖赛美国艾佛特站男子单人滑冠军
陈巍2018年11月24日，陈巍以271.58分获得了什么?,/19赛季花样滑冰大奖赛法国站男子单人滑冠军，以两站冠军晋级总决赛
陈巍2018年12月8日，陈巍以282.42分获得了什么?,2018/19赛季花样滑冰大奖赛总决赛男子单人滑冠军
陈巍2018年3月24日，陈巍以321.40分获得多少年世界花样滑冰锦标赛冠军?,2018
陈巍2019年1月28日，陈巍以342.22分获得2018-多少赛季花样滑冰全美锦标赛男子单人滑冠军?,2019
陈巍伊戈尔王》，最终得到168.94排名单项第一，以总分256.多少获得金牌?,44
陈巍11月26日，参加世界花样滑冰大奖赛日本站，凭借自由滑的稳定发挥，以总分268.多少获得银牌?,91
"陈巍2017年2月，参加四大洲花样滑冰锦标赛，短节目排名首位,以总分307.多少分夺冠?",46
陈巍2018年12月8日，陈巍以282.42分获得2018/多少赛季花样滑冰大奖赛总决赛男子单人滑冠军?,19
陈巍2019年3月23日，以323.42分获多少年世界花样滑冰锦标赛男子单人滑冠军?,2019
陈巍陈巍(NathanChen)，多少年5月5日出生于美国盐湖城，美籍华裔花样滑冰男运动员?,1999
陈巍世界花样滑冰大奖赛日本站获得银牌。多少年2月，以总分307.46夺得四大洲花样滑冰锦标赛冠军?,2017
陈巍多少年1月28日，陈巍以342.22分获得2018-2019赛季花样滑冰全美锦标赛男子单人滑冠军?,2019
陈巍他的父亲来自广西，于上世纪多少年代来到美国，成为了一名医学领域的科研人员?,80
陈巍多少年，陈巍跟随父母去现场观看了盐湖城冬奥会花滑项目比赛，此后就开始与两个哥哥玩冰球?,2002
陈巍伊戈尔王》，最终得到多少.94排名单项第一，以总分256.44获得金牌?,168
陈巍多少月26日，参加世界花样滑冰大奖赛日本站，凭借自由滑的稳定发挥，以总分268.91获得银牌?,11
陈巍多少年2月，参加四大洲花样滑冰锦标赛，短节目排名首位?,2017
陈巍多少年12月8日，陈巍以282.42分获得2018/19赛季花样滑冰大奖赛总决赛男子单人滑冠军?,2018
陈巍多少年3月23日，以323.42分获2019年世界花样滑冰锦标赛男子单人滑冠军?,2019
陈彤的中文名是什么?,陈彤
陈彤的性别是什么?,女
陈彤的国籍是什么?,中国
陈彤的运动项目是什么?,短道速滑
陈彤2019年1月13日，陈彤以1分35秒272获得了什么?,2018/2019赛季“中国杯”短道速滑精英联赛北京站女子1000米冠军
陈彤2018年12月9日，陈彤以2分31秒223获得了什么?,2018-19赛季短道速滑世界杯阿拉木图站女子1500米第二次B组第五名
陈彤2019年1月13日，陈彤以1分35秒272获得2018/2019赛季“中国杯”短道速滑精英联赛北京站女子多少米冠军?,1000
陈彤2019年1月13日，陈彤以1分35秒272获得2018/2019赛季中国杯短道速滑精英联赛北京站女子多少米冠军?,1000
陈彤多少年1月13日，陈彤以1分35秒272获得2018/2019赛季“中国杯”短道速滑精英联赛北京站女子1000米冠军?,2019
陈彤短道速滑世界杯阿拉木图站女子多少米第二次B组第五名?,1500
陈虹伊的中文名是什么?,陈虹伊
陈虹伊的出生日期是什么?,37518
陈虹伊的别    名是什么?,火苗
陈虹伊的身    高是什么?,170cm
陈虹伊的所属运动队是什么?,北京世纪星滑冰俱乐部
陈虹伊的出生地是什么?,中国北京市
陈虹伊的性别是什么?,女
陈虹伊的国    籍是什么?,中国
陈虹伊的运动项目是什么?,花样滑冰
陈虹伊的主要奖项是什么?,2017年全国花样滑冰锦标赛季军
陈虹伊陈虹伊的节目编排颇有什么?,难度，可执行情况情况欠佳，拿到115.62，合计176.59拿到铜牌
陈虹伊2018年12月30日，陈虹伊以160.21分获得了什么?,2018年全国花样滑冰锦标赛女子单人滑季军
陈虹伊2019年2月24日，陈虹伊以总分153.92分获得了什么?,2019年全国花样滑冰冠军赛女子单人滑亚军
陈虹伊2018年7月，陈虹伊获得了什么?,首届中国花样滑冰俱乐部联赛第二站华东赛区精英组成年组女单亚军
陈虹伊2018年9月，陈虹伊获得了什么?,2018全国花样滑冰大奖赛暨U系列青年赛女单亚军
陈虹伊2019年2月9日，陈虹伊以150.50分获得了什么?,2019年四大洲花样滑冰锦标赛女子单人滑第14名
陈虹伊2018年12月30日，陈虹伊以160.21分获得多少年全国花样滑冰锦标赛女子单人滑季军?,2018
陈虹伊3月22日，以157.79分获2019年世界花样滑冰锦标赛女子单人滑第多少名?,19
陈虹伊世界花样滑冰锦标赛女子单人滑第多少名?,19
陈虹技术分25.69/节目内容分18.12、短节目42.多少分排名第二位?,81
陈虹伊陈虹伊的节目编排颇有难度，可执行情况情况欠佳，拿到115.62，合计176.多少拿到铜牌?,59
陈虹伊中国选手陈虹伊以141.00分排在多少位?,18
陈虹伊2019年2月9日，陈虹伊以150.50分获得2019年四大洲花样滑冰锦标赛女子单人滑第多少名?,14
陈虹伊2019年2月24日，陈虹伊以总分153.92分获得多少年全国花样滑冰冠军赛女子单人滑亚军?,2019
陈虹伊多少年12月30日，陈虹伊以160.21分获得2018年全国花样滑冰锦标赛女子单人滑季军?,2018
陈虹伊成年组女单短节目当中，新秀陈虹伊高质量完成勾手三周接后外结环三周，后内点冰三周摔倒，阿克塞尔两周落冰双足，三个旋转都是三级，接续步伐二级，技术分多少.69/节目内容分18.12、短节目42.81分排名第二位?,25
陈虹伊陈虹伊的节目编排颇有难度，可执行情况情况欠佳，拿到多少.62，合计176.59拿到铜牌?,115
陈虹伊中国选手陈虹伊以多少.00分排在18位?,141
陈虹伊多少年9月，陈虹伊获得2018全国花样滑冰大奖赛暨U系列青年赛女单亚军?,2018
陈虹伊多少年2月9日，陈虹伊以150.50分获得2019年四大洲花样滑冰锦标赛女子单人滑第14名?,2019
陈虹伊多少年2月24日，陈虹伊以总分153.92分获得2019年全国花样滑冰冠军赛女子单人滑亚军?,2019
陈露的中文名是什么?,陈露
陈露的外文名是什么?,LuChen
陈露的国籍是什么?,中国
陈露的所属运动队是什么?,中国花样滑冰队
陈露的主要奖项是什么?,利勒哈默尔冬季奥运会奖牌
陈露的出生地是什么?,吉林省长春
陈露的出生日期是什么?,28088
陈露的运动项目是什么?,花样滑冰女子单人滑
陈露的专业特点是什么?,花样滑冰
陈露的性别是什么?,女
陈露三周跳（后外点冰三周跳、后内三周跳、后外三周跳、后内点冰三周跳、勾手三周跳）和两周半跳，以及含有什么?,三周跳的联合跳跃
陈露她也是该届冬奥会前几名中唯一摔倒的选手?,6
陈露在1996年世锦赛中，陈露是第几?,第二
陈露幸好这个联合跳跃除了第二跳存周外有没有别的大问题?,没有
陈露而同时期的某些运动员，如以技术难度著称的塔拉利平斯基有什么?,时把勾手跳做成了，甚至连在1998年冬奥会夺冠的那套自由滑中也出现了这种动作变形
陈露步法相对美国选手关颖珊这一类能把步法同时做到复杂和美观的选手而言，陈露的步法比较简单，这有什么影响?,时因为直线接续步和燕式接续步难度不高而影响技术得分
陈露1990年代有几位获得世锦赛金牌和冬奥会奖牌的女子单人滑运动员因初中的艺术才华获得群众的广泛认可?,三位
"陈露1994年后,1994-1995赛季自由滑、1995-1996赛季短节目和1997-1998赛季自由滑的音乐都有什么特点?",显著的东亚风情
陈露在这套自由滑中，她有什么?,一段长达1分11秒的冰上舞蹈（背景音乐是电影《末代皇帝》的主题曲），在场的观众忍不住附和着音乐为她打拍子
陈露望春风》（SpringBreeze），一首具有什么特点?,古典音乐风格的台湾民谣（邓雨贤作曲，五声调式），这是世锦赛上首次出现有台湾文化背景的音乐
陈露这是她的最后一场国际业余大赛，她状态如何?,和很多具有艺术才华的花样滑冰选手一样，此时的她早已全身心的融入到音乐中去
谁将陈露看作冬奥会奖牌的有力争夺者?,"伊琳娜露丝,玛利亚布尔斯"
陈露因此，她在长野冬奥会上的表现，有什么含义?,着特殊的双重含义：既表明了她已回来，又意味着她将再次离去
陈露这三人的表现都较好，但各有什么?,失误
陈露与同时期的世界顶尖选手包括什么?,包括了克丽斯蒂山口、伊藤绿、托尼亚哈丁、SuryaBonaly和南茜克里根相比，陈露常常能完成更多的跳跃
陈露自由滑阶段中，年仅14岁的她完成了七个三周跳（包括什么?,包括了一个后外点冰三周跳接后外点冰三周跳的联合跳跃），比前五名都多
陈露1998年长野冬奥会中，陈露宣布什么?,她将在冬奥会后告别花样滑冰国际业余大赛
陈露14岁参加了哪一年的世界花样滑冰锦标赛?,1991年
陈露，美国体育评论员例如谁欣赏她的才能?,斯科特汉密尔顿和桑德拉白齐克
陈露在联合跳跃中完成贵勾手三周跳吗,是
陈露1995－1996赛季，她的比赛成绩起伏不定，且受到了不断涌现出的更年轻的对手们的挑战，例如什么?,美国的关颖珊和俄罗斯的伊琳娜斯卢茨卡娅
陈露在法国站她的自由滑是第几?,第一
陈露在自由滑的最后一分钟完成了几个三周跳?,3
陈露经常勾手跳吗?,没有
陈露此后，她的很多著名节目中都包含了这个动作，如什么?,1995年世锦赛自由滑的第1分04秒，1996年世锦赛自由滑的第3分41秒，以及1998年冬奥会自由滑的第2分47秒
陈露于长春，1995年获得了什么?,世界花样滑冰锦标赛世界冠军
陈露在加州奥克兰举办的这届花样滑冰冠军系列赛（后更名为大奖赛）美国站中，她获得了什么?,第四名，而一同参赛的克丽斯蒂山口和托尼亚哈丁是当年的世界冠亚军
陈露陈露在1992年世界青少年花样滑冰锦标赛中蝉联季军后，随即在第十六届冬季奥林匹克运动会中获得了什么?,第六名
陈露随后，陈露在1992年和1993年两届世锦赛中都获得了什么?,铜牌，这是中国运动员的第一枚和第二枚花样滑冰世锦赛奖牌
陈露冰后单手扶冰），并赢得该项目第三名，成为首位获得了什么?,花样滑冰冬奥会奖牌的中国运动员
陈露同年秋天，在名古屋举办的冠军系列赛（后更名为大奖赛）日本站中，陈露获得了什么?,冠军，成功复出
陈露尽管她在1995年秋季的冠军系列赛（后更名为大奖赛）三个分站中获得了什么?,冠亚军，但还是遇到了麻烦
陈露在日本站中，她在短节目阶段和自由滑阶段都克服了困难，获得了什么?,第一
陈露在自由滑阶段，她俩都因出色的表现分别获得了什么?,两个艺术分（Presentation）6.0分的满分，但关颖珊的技术分（TechnicalMerit）更高
陈露尽管陈露在1996年世锦赛只获得了什么?,亚军，但她在短节目和自由滑中的精彩演绎却成为了经典
陈露1990年代有三位获得了什么?,世锦赛金牌和冬奥会奖牌的女子单人滑运动员因出众的艺术才华被广泛认可
陈露于是，这套华丽绚烂的自由滑不仅让年仅18岁的陈露成为当年的世界冠军和中国第一位（亚洲第三位）获得了什么?,该荣誉的运动员，也成为她整个运动员生涯中最著名的节目之一
陈露在同年第四季度举行的冬奥会落选赛中，陈露获得了什么?,第一名，终于踏上了通往奥运会的末班车
陈露当时美国NBC电视台体育评论员和艺术编导桑德拉白齐克在陈露自由滑节目开始时解说道是什么?,在这套自由滑中，她（陈露）说她要在这个源于西方的体育运动里融入她的亚洲传统
陈露因此，她在长野冬奥会上的表现，有着特殊的双重含义是什么?,既表明了她已回来，又意味着她将再次离去
陈露随后，陈露在1992年和1993年两届世锦赛中都获得了铜牌，是什么?,中国运动员的第一枚和第二枚花样滑冰世锦赛奖牌
陈露五声调式），是什么?,世锦赛上首次出现有台湾文化背景的音乐
为什么陈露年轻的陈露受到了广泛关注?,因为那时花样滑冰女子单人滑刚刚步入三周跳时代，
为什么陈露技术分更高?,因为单跳），有更复杂的旋转，
为什么陈露她在自由滑即将结束时安排这样一个联合跳跃，冒了很大的风险?,因为当时她的竞技状态远不如1994-1996赛季，
为什么陈露她们的联合旋转兼顾了难度和美感?,因为旋转不少欧美选手的旋转技术较为全面，
为什么陈露不少现场的观众起立为她鼓掌欢呼?,因为奥运会或世锦赛中出现极为罕见的艺术分满分，
为什么陈露跌到了业余运动员生涯的最低点?,因为陈露
陈露的梁山伯与祝英台》的女主角为恋人殉情并蜕变成蝴蝶的爱情悲剧，陈露被观众与媒体暱称为什么?,为冰上蝴蝶
为什么陈露此前，尽管她的艺术分并不低，不少人还是把她当作跳跃的豆子（theJumpingBean），这或许是因为什么?,那个时候能够在各大国际赛事中出色完成多个三周跳的女运动员并不多见
陈露世界花样滑冰锦标赛世界冠军，2005年与丹尼斯潘在骏豪酒店举行婚礼，结束了他们多少年的爱情长跑?,5
第十七届冬奥会后，该届冬奥会女子单人滑冠亚军都不再参加业余比赛，于是陈露成为同年多少月世锦赛冠军的热门人选?,3
陈露这个特殊的旋转造型是陈露的招牌动作，在她参加多少年世锦赛时就已出现?,1992
陈露陈露在艺术表现方面的分水岭是多少年?,1994
陈露1994年后，陈露在短节目和自由滑的音乐风格明显改变，1997-多少赛季自由滑的音乐有显著的东亚风情?,1998
陈露她的精彩演绎得到了在场观众的热烈掌声，以及裁判打出的2个5.9分和5个5.多少分的艺术分?,8
陈露这套自由滑节目是她艺术表现最强烈的一次，现场的裁判打出了8个5.8分和1个5.多少分的全场第三高的艺术得分?,7
陈露陈露在1996－多少赛季跌入低谷?,1997
陈露她退出了1996年秋季的比赛，一边养伤，一边为多少年世锦赛作准备?,1997
陈露陈露（多少年11月24日—），中国吉林省长春人，花样滑冰女子单人滑运动员?,1976
陈露在多少年代初，作为一名年轻的花样滑冰运动员，陈露就已展现了她的运动才华和艺术天赋?,1990
陈露自由滑阶段中，年仅多少岁的她完成了七个三周跳比前五名都多?,14
陈露陈露在多少年世界青少年花样滑冰锦标赛中蝉联季军后，随即在第十六届冬季奥林匹克运动会中获得了第六名?,1992
陈露达到技术和艺术的巅峰在多少年世锦赛成为世界冠军后，陈露出现了状态下滑?,1995
陈露尽管她在多少年秋季的冠军系列赛（后更名为大奖赛）三个分站中获得冠亚军，但还是遇到了麻烦?,1995
陈露在多少年世锦赛中，陈露没有任何明显失误，却输给了关颖珊而屈居第二?,1996
陈露自由滑阶段的多少名裁判中，有6人认为关颖珊领先于陈露，另外3人则认为陈露领先于关颖珊?,9
陈露尽管陈露在多少年世锦赛只获得亚军，但她在短节目和自由滑中的精彩演绎却成为了经典?,1996
陈露当时她的竞技状态远不如多少-1996赛季，因此她在自由滑即将结束时安排这样一个联合跳跃，冒了很大的风险?,1994
陈露关颖珊（多少年和1998年世锦赛冠军、1998年冬奥会亚军）?,1996
在多少年代通行的6．0分评分体系里，如果某裁判给两位选手短节目的技术分和艺术分之和相等，则技术分高者名次靠前?,1990
陈露身体各部位的详细分解动作如下：在冰上旋转时，右腿向前右侧弯曲作半蹲状，同时抬起左腿并将脚踝放在右腿膝盖上；上身略向前弓；左臂举过头顶并与旋转轴呈约多少度角，右臂与旋转轴呈约45度角，使两只手臂在一条直线上?,135
陈露直到多少年以后，她独具特色的艺术才华逐渐被广泛认可?,1994
陈露多少年后，音乐风格明显改变，1994-1995赛季自由滑的音乐有显著的东亚风情?,1994
这套华丽绚烂的自由滑让年仅多少岁的陈露成为当年的世界冠军和中国第一位（亚洲第三位）获得该荣誉的运动员?,18
陈露多少年世锦赛的巨大成功令她倍受鼓舞，给她更多的信心来尝试不同的音乐风格?,1995
陈露她的精彩演绎得到了在场观众的热烈掌声，以及裁判打出的多少个5.9分和5个5.8分的艺术分?,2
"陈露这套自由滑节目是她艺术表现最强烈,现场的多少名裁判认可了她的倾情演绎，给她打出了8个5.8分和1个5.7分的全场第三高的艺术得分?",9
陈露陈露在多少－1997赛季跌入低谷?,1996
陈露她退出了多少年秋季的比赛，一边养伤，一边为1997年世锦赛作准备?,1996
陈露多少年5月，刘洪云成为陈露的新教练，为争取参加次年的冬奥会作准备?,1997
陈露现场的多少名裁判给这三人的名次投票极为接近，意见明显不一致?,9
陈露布特尔斯卡娅两人的自由滑名次投票上，多少人认为陈露胜?,5
陶嘉莹的中文名是什么?,陶嘉莹
陶嘉莹的毕业院校是什么?,哈尔滨体育学院
陶嘉莹的所属运动队是什么?,国家冬季运动管理中心
陶嘉莹的主要奖项是什么?,国际滑联短道速滑世界杯韩国站女子3000米银牌
陶嘉莹的国籍是什么?,中国
陶嘉莹的运动项目是什么?,滑冰
陶嘉莹的职业是什么?,运动员
陶嘉莹2019年2月2日，陶嘉莹获得了什么?,2018-2019赛季国际滑联速度滑冰世界杯挪威哈马尔站女子3000米B组第19名
陶嘉莹2015-2016赛季，国际滑联短道速滑世界杯德国站，女子1000米陶嘉莹获得了什么?,亚军
陶嘉莹2015-2016赛季，国际滑联短道速滑世界杯荷兰站，陶嘉莹获得了什么?,女子1000米第二次铜牌
陶嘉莹殷琦组成的中国队以3分09秒500获得了什么?,2018-2019赛季国际滑联速度滑冰世界杯日本带广站女子团体追逐赛第八名
陶嘉莹2018年11月17日，陶嘉莹以9分05秒280获得了什么?,2018-2019赛季国际滑联速度滑冰世界杯日本带广站女子集体出发第11名
陶嘉莹2018年11月18日，陶嘉莹以4分19秒361获得了什么?,2018-2019赛季国际滑联速度滑冰世界杯日本带广站女子3000米B组第21名
陶嘉莹2018年12月17日，陶嘉莹以4分15秒995获得了什么?,2018-2019赛季国际滑联速度滑冰世界杯荷兰海伦芬站女子3000米B组第21名
陶嘉莹在2016国际滑联上海超级杯短道速滑及花样滑冰队列滑大奖赛中获女子1500米比赛第多少名?,4
陶嘉莹花样滑冰队列滑大奖赛中获女子1500米比赛第多少名?,4
陶嘉莹哈马尔站女子3000米B组第多少名?,19
世界大学生冬季运动会短道速滑女子1500米决赛中，中国选手陶嘉莹以2分30秒多少的成绩夺冠?,296
陶嘉莹短道速滑世界杯韩国站，陶嘉莹夺得女子多少米银牌?,3000
陶嘉莹2015-2016赛季，国际滑联短道速滑世界杯中国上海站，女子多少米银牌?,1500
陶嘉莹2015-2016赛季，国际滑联短道速滑世界杯德国站，女子多少米陶嘉莹获得亚军?,1000
陶嘉莹2015-2016赛季，国际滑联短道速滑世界杯荷兰站，陶嘉莹获得女子多少米第二次铜牌?,1000
陶嘉莹花样滑冰队列滑大奖赛中，陶嘉莹获女子多少米比赛第四名?,1500
，陶嘉莹以9分05秒280获得2018-2019赛季国际滑联速度滑冰世界杯日本带广站女子集体出发第多少名?,11
陶嘉莹以4分19秒361获得2018-2019赛季国际滑联速度滑冰世界杯日本带广站女子3000米B组第多少名?,21
陶嘉莹海伦芬站女子3000米B组第多少名?,21
陶嘉莹2016短道速滑世锦赛将于3月11日至13日在韩国首尔举行，中国队将派出男女各五人，共多少名队员参加?,10
多少年3月4日，陶嘉莹在2016国际滑联上海超级杯短道速滑及花样滑冰队列滑大奖赛中获女子1500米比赛第4名?,2016
陶嘉莹花样滑冰队列滑大奖赛中获女子多少米比赛第4名?,1500
陶嘉莹哈马尔站女子多少米B组第19名?,3000
陶嘉莹世界大学生冬季运动会短道速滑女子多少米决赛中，来自哈尔滨体育学院的中国选手陶嘉莹以2分30秒296的成绩夺冠?,1500
陶嘉莹多少-2016赛季，国际滑联短道速滑世界杯中国上海站，女子1500米银牌?,2015
陶嘉莹多少-2016赛季，国际滑联短道速滑世界杯德国站，女子1000米陶嘉莹获得亚军?,2015
陶嘉莹多少-2016赛季，国际滑联短道速滑世界杯荷兰站，陶嘉莹获得女子1000米第二次铜牌?,2015
陶嘉莹殷琦组成的中国队以多少分09秒500获得2018-2019赛季国际滑联速度滑冰世界杯日本带广站女子团体追逐赛第八名?,3
陶嘉莹多少年11月17日，陶嘉莹以9分05秒280获得2018-2019赛季国际滑联速度滑冰世界杯日本带广站女子集体出发第11名?,2018
陶嘉莹多少年11月18日，陶嘉莹以4分19秒361获得2018-2019赛季国际滑联速度滑冰世界杯日本带广站女子3000米B组第21名?,2018
陶嘉莹海伦芬站女子多少米B组第21名?,3000
陶嘉莹将于多少月11日至13日在韩国首尔举行，中国队将派出男女各五人，共10名队员参加?,3
隋文静的中文名是什么?,隋文静
隋文静的外文名是什么?,SuiWenjing
隋文静的国籍是什么?,中华人民共和国
隋文静的性别是什么?,女
隋文静的民族是什么?,汉族
隋文静的星座是什么?,巨蟹座
隋文静的出生地是什么?,中国哈尔滨
隋文静的出生日期是什么?,34898
隋文静的毕业院校是什么?,哈尔滨冬季训练中心运动项目
隋文静的运动项目是什么?,花样滑冰
隋文静的所属运动队是什么?,哈尔滨冬季运动项目训练中心
隋文静的重要事件是什么?,世界青年花样滑冰锦标赛冠军2次世界花滑大奖青年组冠军2次世界花样滑冰锦标赛冠军1次[4]
隋文静隋文静2次获得世界青年花样滑冰锦标赛冠军，2次获得了什么?,世界花样滑冰大奖赛总决赛青年组冠军
隋文静2014年隋文静和韩聪再度获得了什么?,四大洲花样滑冰锦标赛双人滑冠军
隋文静2017年3月30日，与韩聪在2017花样滑冰世锦赛上获得了什么?,双人滑自由滑第一，并首次加冕世界冠军，成为中国第三对双人滑世界冠军
隋文静[3]2019年2月10日，隋文静/韩聪以211.11的总分获得了什么?,2019年四大洲花样滑冰锦标赛双人滑冠军
隋文静花样滑冰世锦赛上获得了什么?,双人滑自由滑第一，并首次加冕世界冠军，成为中国第三对双人滑世界冠军
隋文静11月11日，获得了什么?,2017国际滑联花样滑冰大奖赛日本站双人滑冠军
隋文静2019年2月10日，隋文静/韩聪以211.11的总分获得了什么?,2019年四大洲花样滑冰锦标赛双人滑冠军
隋文静下了亚军，大奖赛美国站获得了什么?,第三名，首个赛季就入围了大奖赛总决赛，并且拿下了第三名
隋文静2015-2016赛季在大奖赛美国站上拿下了个人的第一个大奖赛分站赛冠军，中国杯获得了什么?,亚军
隋文静拉德福德，连续两年获得了什么?,亚军
隋文静2018年10月14日，隋文静/韩聪获得了什么?,2017-18赛季冰雪榜样评选最佳组合奖项
